Year,Age Group,Birth Number
1980,35-39 years,13187
1980,40 years and over,2927
1980,Under 15 years,9024
1981,15-19 years,259239
1981,20-24 years,246919
1981,25-29 years,109174
1981,30-34 years,45300
1981,35-39 years,14281
1981,40 years and over,3103
1981,Under 15 years,8589
1982,15-19 years,260626
1982,20-24 years,257473
1982,25-29 years,118954
1982,30-34 years,49559
1982,35-39 years,16420
1982,40 years and over,3475
1982,Under 15 years,8720
1983,15-19 years,261260
1983,20-24 years,265579
1983,25-29 years,126519
1983,30-34 years,53884
1983,35-39 years,18206
1983,40 years and over,3629
1983,Under 15 years,8816
1984,15-19 years,261104
1984,20-24 years,279192
1984,25-29 years,136956
1984,30-34 years,59261
1984,35-39 years,20916
1984,40 years and over,3851
1984,Under 15 years,9075
1985,15-19 years,270922
1985,20-24 years,300365
1985,25-29 years,152024
1985,30-34 years,67315
1985,35-39 years,24038
1985,40 years and over,4124
1985,Under 15 years,9386
1986,15-19 years,280720
1986,20-24 years,316188
1986,25-29 years,165662
1986,30-34 years,74928
1986,35-39 years,26967
1986,40 years and over,4597
1986,Under 15 years,9415
1987,15-19 years,292958
1987,20-24 years,331257
1987,25-29 years,179257
1987,30-34 years,84186
1987,35-39 years,30271
1987,40 years and over,5501
1987,Under 15 years,9583
1988,15-19 years,312499
1988,20-24 years,350905
1988,25-29 years,196365
1988,30-34 years,94874
1988,35-39 years,34408
1988,40 years and over,6341
1988,Under 15 years,9907
1989,15-19 years,337268
1989,20-24 years,378122
1989,25-29 years,215477
1989,30-34 years,106344
1989,35-39 years,39030
1989,40 years and over,7316
1989,Under 15 years,10612
1990,15-19 years,349970
1990,20-24 years,403873
1990,25-29 years,229991
1990,30-34 years,118200
1990,35-39 years,44149
1990,40 years and over,8526
1990,Under 15 years,10675
1991,15-19 years,357483
1991,20-24 years,429094
1991,25-29 years,234593
1991,30-34 years,123901
1991,35-39 years,48353
1991,40 years and over,9377
1991,Under 15 years,10968
1992,15-19 years,353878
1992,20-24 years,435727
1992,25-29 years,233467
1992,30-34 years,127982
1992,35-39 years,52447
1992,40 years and over,10214
1992,Under 15 years,11161
1993,15-19 years,357432
1993,20-24 years,438538
1993,25-29 years,233776
1993,30-34 years,132263
1993,35-39 years,55570
1993,40 years and over,11126
1993,Under 15 years,11467
1994,15-19 years,381499
1994,20-24 years,449246
1994,25-29 years,237636
1994,30-34 years,136991
1994,35-39 years,59701
1994,40 years and over,12333
1994,Under 15 years,12186
1995,15-19 years,375738
1995,20-24 years,432003
1995,25-29 years,228614
1995,30-34 years,133282
1995,35-39 years,60234
1995,40 years and over,12664
1995,Under 15 years,11441
1996,15-19 years,373289
1996,20-24 years,431462
1996,25-29 years,235651
1996,30-34 years,133048
1996,35-39 years,62656
1996,40 years and over,13740
1996,Under 15 years,10460
1997,15-19 years,376117
1997,20-24 years,438632
1997,25-29 years,234762
1997,30-34 years,124831
1997,35-39 years,59870
1997,40 years and over,13547
1997,Under 15 years,9685
1998,15-19 years,380868
1998,20-24 years,460367
1998,25-29 years,243280
1998,30-34 years,124624
1998,35-39 years,61087
1998,40 years and over,14204
1998,Under 15 years,9137
1999,15-19 years,374485
1999,20-24 years,476497
1999,25-29 years,246873
1999,30-34 years,124894
1999,35-39 years,62637
1999,40 years and over,14437
1999,Under 15 years,8737
2000,15-19 years,369456
2000,20-24 years,503602
2000,25-29 years,255092
2000,30-34 years,130213
2000,35-39 years,64523
2000,40 years and over,15938
2000,Under 15 years,8219
2001,15-19 years,352026
2001,20-24 years,514959
2001,25-29 years,257702
2001,30-34 years,135040
2001,35-39 years,65257
2001,40 years and over,16771
2001,Under 15 years,7494
2002,15-19 years,340186
2002,20-24 years,527657
2002,25-29 years,268312
2002,30-34 years,139208
2002,35-39 years,66036
2002,40 years and over,17494
2002,Under 15 years,7093
2003,15-19 years,337201
2003,20-24 years,549353
2003,25-29 years,287205
2003,30-34 years,147555
2003,35-39 years,69071
2003,40 years and over,19141
2003,Under 15 years,6469
2004,15-19 years,342188
2004,20-24 years,566381
2004,25-29 years,307576
2004,30-34 years,155275
2004,35-39 years,72194
2004,40 years and over,19972
2004,Under 15 years,6603
2005,15-19 years,345413
2005,20-24 years,584792
2005,25-29 years,331820
2005,30-34 years,161752
2005,35-39 years,75717
2005,40 years and over,20950
2005,Under 15 years,6590
2006,15-19 years,366588
2006,20-24 years,625780
2006,25-29 years,366085
2006,30-34 years,173586
2006,35-39 years,81828
2006,40 years and over,21791
2006,Under 15 years,6288
2007,15-19 years,380499
2007,20-24 years,644553
2007,25-29 years,389485
2007,30-34 years,185501
2007,35-39 years,86434
2007,40 years and over,22454
2007,Under 15 years,6121
2008,15-19 years,376844
2008,20-24 years,640746
2008,25-29 years,397335
2008,30-34 years,193434
2008,35-39 years,88853
2008,40 years and over,23644
2008,Under 15 years,5710
2009,15-19 years,357474
2009,20-24 years,624293
2009,25-29 years,394556
2009,30-34 years,198168
2009,35-39 years,89854
2009,40 years and over,24333
2009,Under 15 years,4980
2010,15-19 years,323862
2010,20-24 years,600833
2010,25-29 years,384865
2010,30-34 years,203479
2010,35-39 years,91089
2010,40 years and over,24878
2010,Under 15 years,4465
2011,15-19 years,291736
2011,20-24 years,592554
2011,25-29 years,387354
2011,30-34 years,212974
2011,35-39 years,93155
2011,40 years and over,26061
2011,Under 15 years,3939
2012,15-19 years,270843
2012,20-24 years,593894
2012,25-29 years,393826
2012,30-34 years,222306
2012,35-39 years,97863
2012,40 years and over,27250
2012,Under 15 years,3637
2013,15-19 years,242167
2013,20-24 years,586874
2013,25-29 years,401876
2013,30-34 years,231598
2013,35-39 years,102412
2013,40 years and over,27874
2013,Under 15 years,3072
